Month,SerieA,Bundesliga,MLB,eredivisie
2004-01,4,3,6,<1
2004-02,4,5,7,<1
2004-03,4,6,11,1
2004-04,3,6,19,<1
2004-05,3,6,16,<1
2004-06,2,3,18,<1
2004-07,2,4,20,<1
2004-08,4,6,16,1
2004-09,6,4,19,1
2004-10,5,7,30,1
2004-11,5,5,7,1
2004-12,4,4,9,1
2005-01,4,4,7,<1
2005-02,5,6,7,1
2005-03,4,5,11,1
2005-04,5,5,21,1
2005-05,5,4,19,<1
2005-06,3,3,23,<1
2005-07,3,4,24,<1
2005-08,5,7,21,1
2005-09,6,6,22,1
2005-10,5,5,23,1
2005-11,4,5,7,1
2005-12,4,5,10,1
2006-01,5,4,8,1
2006-02,5,7,8,1
2006-03,4,7,12,1
2006-04,4,6,23,1
2006-05,3,6,22,<1
2006-06,2,3,23,<1
2006-07,4,5,27,<1
2006-08,3,10,23,1
2006-09,8,6,21,1
2006-10,6,7,22,1
2006-11,5,8,9,1
2006-12,5,6,8,1
2007-01,4,5,7,1
2007-02,6,9,8,1
2007-03,4,8,13,1
2007-04,6,9,27,2
2007-05,5,9,22,1
2007-06,3,4,28,<1
2007-07,3,4,27,<1
2007-08,6,11,27,1
2007-09,9,10,27,1
2007-10,7,7,27,1
2007-11,6,6,9,1
2007-12,6,6,10,1
2008-01,6,3,7,1
2008-02,7,8,9,1
2008-03,8,9,14,1
2008-04,7,8,25,1
2008-05,7,7,22,<1
2008-06,3,3,25,<1
2008-07,4,4,28,<1
2008-08,6,8,23,1
2008-09,11,7,23,1
2008-10,9,8,23,1
2008-11,10,10,8,1
2008-12,7,7,9,1
2009-01,9,4,8,1
2009-02,9,9,9,2
2009-03,8,8,12,1
2009-04,8,10,25,1
2009-05,9,14,25,1
2009-06,3,3,28,<1
2009-07,5,4,30,1
2009-08,9,14,26,2
2009-09,12,9,22,1
2009-10,11,9,26,1
2009-11,10,9,12,1
2009-12,8,8,9,1
2010-01,12,8,7,1
2010-02,11,11,8,2
2010-03,13,11,11,2
2010-04,13,12,26,2
2010-05,9,7,24,1
2010-06,3,3,28,<1
2010-07,5,4,31,<1
2010-08,7,9,28,2
2010-09,14,12,27,2
2010-10,12,12,31,2
2010-11,14,12,9,2
2010-12,10,9,9,2
2011-01,14,9,6,2
2011-02,15,14,8,2
2011-03,11,10,13,2
2011-04,13,14,31,3
2011-05,11,8,27,3
2011-06,4,4,31,<1
2011-07,5,4,35,1
2011-08,6,13,32,3
2011-09,14,10,32,2
2011-10,15,10,30,2
2011-11,12,10,8,2
2011-12,13,9,9,2
2012-01,14,7,8,1
2012-02,15,13,8,2
2012-03,13,13,13,3
2012-04,18,16,32,3
2012-05,12,6,30,2
2012-06,4,3,35,<1
2012-07,5,3,37,1
2012-08,8,7,31,2
2012-09,15,12,33,2
2012-10,12,9,39,2
2012-11,15,11,8,2
2012-12,12,8,9,2
2013-01,11,6,7,2
2013-02,14,10,8,2
2013-03,12,9,13,2
2013-04,12,10,35,2
2013-05,10,9,32,1
2013-06,3,4,39,<1
2013-07,5,4,41,1
2013-08,8,11,40,2
2013-09,16,9,37,2
2013-10,14,8,34,1
2013-11,13,9,7,1
2013-12,12,8,8,2
2014-01,14,5,7,1
2014-02,13,10,7,2
2014-03,15,14,15,2
2014-04,14,12,35,2
2014-05,11,7,35,1
2014-06,3,3,38,<1
2014-07,4,3,39,<1
2014-08,7,9,38,1
2014-09,15,11,36,1
2014-10,13,9,29,1
2014-11,13,12,8,1
2014-12,11,12,8,1
2015-01,14,5,6,1
2015-02,15,18,7,2
2015-03,13,12,13,1
2015-04,14,14,40,1
2015-05,16,16,39,1
2015-06,4,4,44,<1
2015-07,5,3,46,<1
2015-08,12,13,53,1
2015-09,21,14,49,1
2015-10,20,12,51,1
2015-11,20,11,9,1
2015-12,18,11,8,1
2016-01,24,7,6,1
2016-02,26,13,6,2
2016-03,16,13,16,2
2016-04,23,17,56,2
2016-05,14,11,61,2
2016-06,5,2,62,<1
2016-07,7,3,63,<1
2016-08,14,6,59,2
2016-09,23,14,58,2
2016-10,24,14,55,2
2016-11,15,16,15,1
2016-12,17,16,9,2
2017-01,19,9,6,1
2017-02,23,18,8,2
2017-03,20,14,17,2
2017-04,27,26,51,4
2017-05,26,19,54,2
2017-06,6,3,58,<1
2017-07,7,4,61,<1
2017-08,17,13,56,1
2017-09,27,22,53,2
2017-10,29,17,65,2
2017-11,25,15,13,2
2017-12,33,17,8,2
2018-01,25,14,7,2
2018-02,30,20,10,3
2018-03,25,19,20,2
2018-04,38,24,52,3
2018-05,26,13,53,1
2018-06,4,2,49,<1
2018-07,7,3,50,<1
2018-08,21,8,50,2
2018-09,37,20,53,2
2018-10,27,20,63,2
2018-11,28,19,7,2
2018-12,43,26,8,3
2019-01,24,13,8,2
2019-02,42,28,10,3
2019-03,36,28,20,3
2019-04,45,32,48,5
2019-05,42,25,49,3
2019-06,4,3,56,<1
2019-07,4,3,50,<1
2019-08,18,19,54,3
2019-09,44,24,53,3
2019-10,38,23,72,3
2019-11,36,29,8,3
2019-12,47,33,8,3
2020-01,56,19,8,2
2020-02,63,38,10,4
2020-03,17,14,9,2
2020-04,3,3,6,1
2020-05,4,35,7,<1
2020-06,28,35,10,<1
2020-07,100,6,23,<1
2020-08,13,4,43,1
2020-09,25,14,45,2
2020-10,38,22,52,3
2020-11,42,21,5,2
2020-12,56,28,6,3
2021-01,77,38,7,5
2021-02,62,32,8,3
2021-03,53,27,13,3
2021-04,63,36,47,3
2021-05,83,32,49,3
2021-06,5,3,52,<1
2021-07,5,4,61,<1
2021-08,30,24,58,2
2021-09,56,24,64,3
2021-10,61,29,76,3
2021-11,43,21,13,3
2021-12,55,26,7,3
2022-01,48,21,6,2
2022-02,64,27,7,3
2022-03,47,22,15,3
2022-04,77,33,46,3
2022-05,73,20,51,4
2022-06,6,3,54,<1
2022-07,5,4,60,<1
2022-08,50,29,59,3
2022-09,53,27,56,3
2022-10,69,38,69,4
2022-11,39,22,16,3
2022-12,5,3,9,<1
2023-01,73,22,7,5
2023-02,66,37,8,5
2023-03,48,28,19,4
2023-04,76,43,56,5
2023-05,75,61,51,5
2023-06,17,6,59,1
2023-07,5,4,63,1
2023-08,30,19,61,3
2023-09,57,33,58,4
2023-10,48,31,63,5
2023-11,41,28,12,4
2023-12,61,35,11,4
2024-01,49,26,8,3
2024-02,58,44,11,4
2024-03,47,40,23,4
2024-04,38,19,54,6
